,sport,dport,seq,ask,dataofs,window,chksum,timestamp,class2
0,47922,434,2531603996,2949981601,8,501,9008,"(1538464989, 229390440)",1
1,47944,434,3606378754,1155864771,8,502,14217,"(1538464992, 229390490)",1
2,434,47912,4053684166,1518446442,11,227,35265,"(229390634, 1538464522)",2
3,434,39074,127940315,3831517328,11,297,5071,"(229390646, 1538464586)",0
4,434,47930,1719665694,1806838571,10,28960,26463,"(229390680, 1538463713)",2
5,47930,434,1806839142,1719665695,8,502,65301,"(1538464994, 229390428)",0
6,434,47930,1719665694,1806838571,10,28960,26463,"(229390680, 1538463713)",2
7,434,47922,2949981341,2531603996,8,227,7968,"(229390712, 1538463757)",1
8,47922,434,2531604122,2949981601,11,501,32451,"(1538464994, 229390712)",1
9,434,47944,1155864770,3606378754,10,28960,14838,"(229390742, 1538463963)",2
10,47944,434,3606379325,1155864771,8,502,53782,"(1538465138, 229390490)",1
11,434,47922,2949981601,2531604122,8,227,60964,"(229390746, 1538464989)",1
12,47922,434,2531604122,2949981859,8,501,23824,"(1538465138, 229390746)",1
13,47944,434,3606379325,1155864771,8,502,53712,"(1538465207, 229390490)",1
14,47958,434,2911642563,0,10,64240,20052,"(1538465344, 0)",3
15,47972,434,2914967316,0,10,64240,37319,"(1538465595, 0)",3
16,434,47912,4053684166,1518446568,8,227,48877,"(229390746, 1538464986)",2
17,434,47930,1719665695,1806839142,8,227,26645,"(229390746, 1538464982)",0
18,47930,434,1806839142,1719665851,8,501,64209,"(1538465613, 229390746)",0
19,434,47912,4053684166,1518446568,8,227,7764,"(229390746, 1538464986)",2
20,434,47944,1155864771,3606379325,8,227,15059,"(229390747, 1538464992)",0
21,434,47944,1155864928,3606379326,8,227,53507,"(229390813, 1538465207)",0
22,434,47958,3788507281,2911642564,10,28960,42514,"(229390835, 1538465344)",2
23,47958,434,2911642564,3788507282,8,502,17147,"(1538465614, 229390835)",1
24,47930,434,1806839142,1719665851,8,501,59865,"(1538465614, 229390746)",0
25,47930,434,1806839193,1719665851,8,501,14937,"(1538465614, 229390746)",0
26,47958,434,2911642564,3788507282,8,502,48569,"(1538465617, 229390835)",1
27,47912,434,1518446568,4053684424,8,501,23670,"(1538465617, 229390746)",1
28,434,47972,2381846460,2914967317,10,28960,11764,"(229390898, 1538465595)",1
29,47972,434,2914967317,2381846461,8,502,52036,"(1538465761, 229390898)",1
30,434,47958,3788507282,2911643135,8,227,53183,"(229390903, 1538465617)",1
31,47958,434,2911643135,3788507438,8,501,16205,"(1538465762, 229390903)",1
32,47972,434,2914967317,2381846461,8,502,6995,"(1538465764, 229390898)",1
33,47958,434,2911643135,3788507438,8,501,33608,"(1538465765, 229390903)",1
34,47972,434,2914967317,2381846461,8,502,6446,"(1538466313, 229390898)",1
35,47958,434,2911643135,3788507438,8,501,32868,"(1538466505, 229390903)",1
36,47912,434,1518446568,4053684424,8,501,22590,"(1538466697, 229390746)",1
37,39074,434,3831517328,127940315,8,501,49689,"(1538466881, 229390646)",0
38,39074,434,3831517496,127940315,8,501,11290,"(1538466881, 229390646)",0
39,47910,434,3378816269,2139350363,8,502,10660,"(1538466885, 229390052)",1
40,47922,434,2531604122,2949981859,8,501,18725,"(1538466893, 229390746)",1
41,47958,434,2911643135,3788507438,8,501,32068,"(1538467305, 229390903)",1
42,434,47930,1719665851,1806839457,8,227,64010,"(229390903, 1538465614)",0
43,434,47912,4053684424,1518446810,8,227,47589,"(229390903, 1538465617)",2
44,434,47912,4053684424,1518446810,8,227,59401,"(229390905, 1538465617)",2
45,434,47930,1719665851,1806839457,8,227,47917,"(229390905, 1538465614)",0
46,434,47972,2381846461,2914967888,8,227,58425,"(229390951, 1538465764)",1
47,47972,434,2914967888,2381846617,8,501,49708,"(1538467310, 229390951)",1
48,434,47958,3788507438,2911643186,8,227,16363,"(229390965, 1538465765)",1
49,434,47972,2381846617,2914967888,11,227,29865,"(229391078, 1538466313)",1
50,434,47958,3788507438,2911643186,11,227,24325,"(229391125, 1538466505)",1
51,434,47912,4053684424,1518446810,8,227,59178,"(229391128, 1538465617)",2
52,47912,434,1518446810,4053684492,11,501,62950,"(1538467311, 229391128)",1
53,47930,434,1806839457,1719665919,8,501,1931,"(1538467314, 229390905)",0
54,47972,434,2914967888,2381846617,8,501,45959,"(1538467314, 229391078)",1
55,47912,434,1518446810,4053684492,8,501,47382,"(1538467318, 229391128)",1
56,434,47912,4053684492,1518446810,11,227,30845,"(229391174, 1538466697)",2
57,434,47972,2381846461,2914967888,8,227,57627,"(229391200, 1538466313)",1
58,47972,434,2914967939,2381846617,11,501,16081,"(1538467327, 229391200)",1
59,434,39074,127940315,3831517996,8,297,42417,"(229391222, 1538466881)",0
60,434,47910,2139350363,3378815752,11,227,8561,"(229391222, 1538463746)",1
61,47910,434,3378815752,2139350363,8,502,25539,"(1538467327, 229391222)",1
62,434,47922,2949981859,2531604364,8,227,21624,"(229391223, 1538466893)",1
63,434,47922,2949981859,2531604364,8,227,38579,"(229391225, 1538466893)",1
64,47922,434,2531604364,2949981927,8,501,20846,"(1538467327, 229391225)",1
65,434,39074,127940315,3831517996,8,297,23035,"(229391265, 1538466881)",0
66,39074,434,3831517996,127940428,8,501,41611,"(1538467327, 229391265)",0
