,sport,dport,seq,ask,dataofs,window,chksum,timestamp,class2
0,443,42946,757226587,269089442,8,8463,34098,"(3217300137, 2931560240)",1
1,42946,443,269089442,757226692,8,3020,15941,"(2931571466, 3217300137)",1
2,42946,443,269089442,757226692,8,3020,9534,"(2931571467, 3217300137)",1
3,443,42946,757226692,269089547,8,8463,10371,"(3217300158, 2931571467)",1
4,443,42946,757226692,269089547,8,8463,28283,"(3217300865, 2931571467)",1
5,42946,443,269089547,757226797,8,3020,11682,"(2931574787, 3217300865)",1
6,443,42946,757226692,269089547,8,8463,28171,"(3217300977, 2931571467)",1
7,42946,443,269089547,757226797,11,3020,58060,"(2931574811, 3217300977)",1
8,443,40364,1396391281,1192603671,8,2115,56318,"(2579066458, 2242958348)",0
9,40364,443,1192603671,1396391282,8,501,23913,"(2243123436, 2579066458)",1
10,47098,443,3459105625,0,10,64240,6600,"(2243123438, 0)",1
11,51766,80,1556833198,0,10,64240,55812,"(2243123438, 0)",2
12,443,40364,1396391282,1192603672,8,2115,22044,"(2579066713, 2243123436)",0
13,443,47098,125766815,3459105626,10,65535,61429,"(3389146991, 2243123438)",1
14,47098,443,3459105626,125766816,8,502,6948,"(2243123640, 3389146991)",0
15,80,51766,3217765151,1556833199,10,65535,31853,"(4099437073, 2243123438)",2
16,51766,80,1556833199,3217765152,8,502,42907,"(2243123640, 4099437073)",4
17,47098,443,3459105626,125766816,8,502,10127,"(2243123640, 3389146991)",0
18,51766,80,1556833199,3217765152,8,502,36496,"(2243123640, 4099437073)",4
19,443,47098,125766816,3459105855,8,2082,21936,"(3389147193, 2243123640)",0
20,47098,443,3459105855,125766937,8,502,6200,"(2243123836, 3389147193)",0
21,80,51766,3217765152,1556833606,8,2082,1556,"(4099437276, 2243123640)",2
22,51766,80,1556833606,3217765403,8,501,41851,"(2243123836, 4099437276)",4
23,51766,80,1556833606,3217765403,8,501,41849,"(2243123837, 4099437276)",4
